,當月營收,上月比較%,去年同月營收,去年同月增減%,當月累計營收,去年累計營收,前期比較%
2019/10,"36,972,408",-6.4,"35,398,600",4.4,"380,327,552","365,657,792",4.0
2019/09,"39,494,108",-4.4,"37,539,416",5.2,"343,355,136","330,259,200",4.0
2019/08,"41,324,568",2.6,"39,945,628",3.5,"303,861,024","292,719,776",3.8
2019/07,"40,267,552",3.6,"38,128,164",5.6,"262,536,464","252,774,144",3.9
2019/06,"38,858,020",0.4,"37,048,408",4.9,"222,268,928","214,645,984",3.5
2019/05,"38,716,216",4.9,"37,995,652",1.9,"183,410,896","177,597,584",3.3
2019/04,"36,918,812",0.3,"35,313,668",4.5,"144,694,688","139,601,936",3.6
2019/03,"36,804,988",23.4,"35,875,544",2.6,"107,775,872","104,288,264",3.3
2019/02,"29,826,476",-27.5,"30,250,748",-1.4,"70,970,888","68,412,720",3.7
2019/01,"41,144,408",26.2,"38,161,968",7.8,"41,144,408","38,161,968",7.8
2018/12,"32,590,936",-1.9,"30,552,612",6.7,"431,478,336","399,850,080",7.9
2018/11,"33,229,600",-6.1,"31,140,540",6.7,"398,887,392","369,297,472",8.0
2018/10,"35,398,600",-5.7,"33,118,532",6.9,"365,657,792","338,156,928",8.1
2018/09,"37,539,416",-6.0,"35,792,012",4.9,"330,259,200","305,038,400",8.3
2018/08,"39,945,628",4.8,"37,940,820",5.3,"292,719,776","269,246,368",8.7
2018/07,"38,128,164",2.9,"35,072,216",8.7,"252,774,144","231,305,552",9.3
2018/06,"37,048,408",-2.5,"34,105,064",8.6,"214,645,984","196,233,344",9.4
2018/05,"37,995,652",7.6,"33,849,168",12.3,"177,597,584","162,128,288",9.5
2018/04,"35,313,668",-1.6,"32,149,960",9.8,"139,601,936","128,279,112",8.8
2018/03,"35,875,544",18.6,"32,926,232",9.0,"104,288,264","96,129,152",8.5
2018/02,"30,250,748",-20.7,"28,430,864",6.4,"68,412,720","63,202,920",8.2
2018/01,"38,161,968",24.9,"34,772,056",9.8,"38,161,968","34,772,056",9.8
2017/12,"30,552,612",-1.9,"30,085,440",1.5,"399,850,080","413,685,248",-3.3
2017/11,"31,140,540",-6.0,"30,631,842",1.7,"369,297,472","383,599,808",-3.7
2017/10,"33,118,532",-7.5,"33,945,524",-2.4,"338,156,928","352,967,968",-4.2
2017/09,"35,792,012",-5.7,"35,517,052",0.8,"305,038,400","319,022,464",-4.4
2017/08,"37,940,820",8.2,"37,381,316",1.5,"269,246,368","283,505,408",-5.0
2017/07,"35,072,216",2.8,"34,586,148",1.4,"231,305,552","246,124,096",-6.0
2017/06,"34,105,064",0.8,"35,837,448",-4.8,"196,233,344","211,537,936",-7.2
2017/05,"33,849,168",5.3,"35,180,192",-3.8,"162,128,288","175,700,496",-7.7
2017/04,"32,149,960",-2.4,"33,807,544",-4.9,"128,279,112","140,520,304",-8.7
2017/03,"32,926,230",15.8,"35,787,580",-8.0,"96,129,152","106,712,800",-9.9
2017/02,"28,430,860",-18.2,"30,528,300",-6.9,"63,202,920","70,925,168",-10.9
2017/01,"34,772,060",15.6,"40,396,872",-13.9,"34,772,060","40,396,872",-13.9
2016/12,"30,085,440",-1.8,"30,286,190",-0.7,"413,685,184","416,448,992",-0.7
2016/11,"30,631,840",-9.8,"31,056,450",-1.4,"383,599,808","386,162,816",-0.7
2016/10,"33,945,520",-4.4,"34,146,848",-0.6,"352,968,000","355,106,400",-0.6
2016/09,"35,517,048",-5.0,"36,509,180",-2.7,"319,022,496","320,959,616",-0.6
2016/08,"37,381,320",8.1,"38,024,880",-1.7,"283,505,408","284,450,400",-0.3
2016/07,"34,586,152",-3.5,"36,452,232",-5.1,"246,124,096","246,425,504",-0.1
2016/06,"35,837,448",1.9,"36,605,432",-2.1,"211,537,904","209,973,200",0.8
2016/05,"35,180,192",4.1,"34,803,220",1.1,"175,700,496","173,367,808",1.4
2016/04,"33,807,540",-5.5,"33,626,208",0.5,"140,520,304","138,564,608",1.4
2016/03,"35,787,580",17.2,"35,048,880",2.1,"106,712,800","104,938,400",1.7
2016/02,"30,528,300",-24.4,"31,025,130",-1.6,"70,925,184","69,889,488",1.5
2016/01,"40,396,872",33.4,"38,864,360",3.9,"40,396,872","38,864,360",3.9
2015/12,"30,286,188",-2.5,"29,922,134",1.2,"416,449,024","417,956,384",-0.4
2015/11,"31,056,450",-9.1,"30,975,060",0.3,"386,162,816","388,646,016",-0.5
2015/10,"34,146,848",-6.5,"35,053,088",-0.9,"355,106,400","358,192,608",-0.6
2015/09,"36,509,180",-4.0,"36,661,808",1.0,"320,959,488","323,139,488",-0.5
2015/08,"38,024,880",4.3,"37,548,688",1.3,"284,450,304","286,477,696",-0.7
2015/07,"36,452,232",-0.4,"37,295,820",-2.3,"246,425,504","248,928,992",-1.0
2015/06,"36,605,432",5.2,"35,941,420",1.9,"209,973,200","211,633,200",-0.8
