,title,info,link,image_url
0,夏季聯賽與熱身賽全勝 國王開季續走紅力克拓荒者,賭城夏季聯賽以5勝0敗之姿封王，且季前熱身賽同樣保持4勝0敗金身，國王今天（21號）開幕戰挾帶此氣...,https://nba.udn.com/nba/story/6780/5833210,https://uc.udn.com.tw/photo/2021/10/21/0/14376245.jpg
1,灰狼三將各破20分 隊史開幕戰第3次,在主場球迷的助陣下，唐斯（Karl-Anthony Towns）、愛德華（Anthony Edwa...,https://nba.udn.com/nba/story/6780/5832910,https://uc.udn.com.tw/photo/2021/10/21/0/14375732.jpg
2,開價5百萬美金 西蒙斯出售近76人球場豪宅,76人隊球星西蒙斯（Ben Simmons）求去心意似乎愈來愈明顯，日前才有費城媒體報導，西蒙斯求...,https://nba.udn.com/nba/story/6780/5832721,https://uc.udn.com.tw/photo/2021/10/21/1/14375658.jpeg
3,布克手感低迷 約柯奇率金塊挫太陽報一箭之仇,今天（21號）面對西冠隊伍太陽，同時也是季後賽2輪淘汰自己的對手，上季MVP得主約柯奇（Nikol...,https://nba.udn.com/nba/story/6780/5832809,https://uc.udn.com.tw/photo/2021/10/21/0/14375604.jpeg
4,開幕戰砍生涯新高46分 布朗疫後坦言呼吸仍有不順,季前訓練營期間驚傳確診消息，布朗（Jaylen Brown）今日（21號）及時復出趕上開幕戰，雖然...,https://nba.udn.com/nba/story/6780/5832694,https://uc.udn.com.tw/photo/2021/10/21/0/14375393.jpeg
5,莫蘭特第四節隻手遮天 灰熊擺脫騎士糾纏,延續上季季後賽的強勢表現，莫蘭特（Ja Morant）在主場開幕戰狂飆37分6籃板6助攻2阻攻，搭...,https://nba.udn.com/nba/story/6780/5832705,https://uc.udn.com.tw/photo/2021/10/21/0/14375384.jpg
6,富比世估3隊價值破50億 勇士唯一上年度營收為負,《富比世》日前公佈每年一度NBA全30隊估值評比排行，其中尼克、勇士與湖人價值都上看50億美元大關...,https://nba.udn.com/nba/story/6780/5832497,https://uc.udn.com.tw/photo/2021/10/21/0/14374811.jpeg
7,找回最佳第六人丰采 哈瑞爾助巫師輕取暴龍,在湖人鬱鬱不得志的哈瑞爾（Montrezl Harrell），轉戰巫師後的首場例行賽再次展現昔日最...,https://nba.udn.com/nba/story/6780/5832505,https://uc.udn.com.tw/photo/2021/10/21/0/14374814.jpg
8,布朗飆46分無用 佛尼爾聯手藍道驚險開胡,第四節浪費兩位數領先優勢的尼克，差點就讓煮熟的鴨子飛走！最終歷經兩度延長賽的激烈拚鬥，靠著佛尼爾（...,https://nba.udn.com/nba/story/6780/5832420,https://uc.udn.com.tw/photo/2021/10/21/0/14374650.jpg
9,陣容深度彌補西蒙斯缺陣 76人四將火力連線擒鵜鶘,西蒙斯（Ben Simmons）因態度不佳遭逐出訓練，且被球團追加禁賽1場，讓他無緣出賽球隊今天（...,https://nba.udn.com/nba/story/6780/5832400,https://uc.udn.com.tw/photo/2021/10/21/0/14374634.jpeg
