,幣別,銀行買進,銀行賣出,銀行買進,銀行賣出,銀行買進,銀行賣出
0,美元(USD),27.8400,27.9400,27.8700,27.9100,27.5600,28.1600
1,歐元(EUR),32.2700,32.6700,32.3300,32.6100,31.8400,33.0200
2,日圓(JPY),0.2426,0.2466,0.2436,0.2456,0.2386,0.2486
3,人民幣(CNY),4.3330,4.3830,4.3430,4.3730,4.2330,4.4030
4,港幣(HKD),3.5570,3.6170,3.5670,3.6070,3.4770,3.6570
5,澳大利亞幣(AUD),20.7700,20.9900,20.8000,20.9600,--,--
6,紐西蘭幣(NZD),19.9100,20.1300,19.9300,20.1100,--,--
7,南非幣(ZAR),1.8790,1.9740,1.8840,1.9690,--,--
8,加拿大幣(CAD),22.5200,22.7200,22.5500,22.6900,--,--
9,英鎊(GBP),38.3000,38.7200,38.3600,38.6600,--,--
10,瑞士法郎(CHF),30.2000,30.4400,30.2300,30.4100,--,--
11,瑞典幣(SEK),3.2010,3.2890,3.2110,3.2790,--,--
12,新加坡幣(SGD),20.6400,20.8400,20.6700,20.8100,--,--
13,泰國幣(THB),0.8150,0.8550,0.8180,0.8520,--,--
14,丹麥幣(DKK),4.3200,4.4000,4.3300,4.3900,--,--
15,土耳其里拉(TRY),2.8280,3.1880,2.8580,3.1580,--,--
