,date,team,round 1,round 2,round 3,round 4,total
0,2019-01-02,爵士,24,29,32,31,116
1,2019-01-02,暴龍,26,25,44,27,122
2,2019-01-02,活塞,27,25,21,25,98
3,2019-01-02,公鹿,35,33,24,29,121
4,2019-01-02,尼克,32,24,28,24,108
5,2019-01-02,金塊,28,27,27,33,115
6,2019-01-02,拓荒者,26,38,19,20,113
7,2019-01-02,國王,25,25,27,26,108
8,2019-01-02,76人,41,35,25,18,119
9,2019-01-02,快艇,28,30,30,25,113
10,2019-01-03,獨行俠,42,23,29,28,122
11,2019-01-03,黄蜂,26,15,24,19,84
12,2019-01-03,熱火,22,36,35,24,117
13,2019-01-03,騎士,23,20,30,19,92
14,2019-01-03,老鷹,29,24,31,14,98
15,2019-01-03,巫師,35,29,24,26,114
16,2019-01-03,鵜鶘,29,29,29,34,121
17,2019-01-03,籃網,39,34,32,21,126
18,2019-01-03,灰狼,21,21,39,21,102
19,2019-01-03,塞爾蒂克,25,35,27,28,115
20,2019-01-03,魔術,32,30,28,22,112
21,2019-01-03,公牛,16,29,17,22,84
22,2019-01-03,活塞,26,25,21,29,101
23,2019-01-03,灰熊,24,31,12,27,94
24,2019-01-03,76人,44,28,32,28,132
25,2019-01-03,太陽,32,17,38,40,127
26,2019-01-03,雷霆,25,34,19,29,107
27,2019-01-03,湖人,25,32,25,18,100
28,2019-01-04,暴龍,19,32,24,32,107
29,2019-01-04,馬刺,38,29,29,29,125
30,2019-01-04,金塊,30,23,31,33,117
31,2019-01-04,國王,30,36,18,29,113
32,2019-01-04,火箭,22,31,39,27,135
33,2019-01-04,勇士,34,36,28,21,134
34,2019-01-05,爵士,23,25,33,36,117
35,2019-01-05,騎士,20,29,22,20,91
36,2019-01-05,獨行俠,23,28,17,25,93
37,2019-01-05,塞爾蒂克,34,24,26,30,114
38,2019-01-05,巫師,24,34,28,23,109
39,2019-01-05,熱火,31,30,34,20,115
40,2019-01-05,溜馬,18,36,21,30,119
41,2019-01-05,公牛,30,28,20,27,116
42,2019-01-05,籃網,26,22,33,28,109
43,2019-01-05,灰熊,26,21,30,23,100
44,2019-01-05,魔術,40,28,17,18,103
45,2019-01-05,灰狼,31,33,31,25,120
46,2019-01-05,老鷹,14,29,36,33,112
47,2019-01-05,公鹿,43,33,42,26,144
48,2019-01-05,快艇,38,30,23,30,121
49,2019-01-05,太陽,19,25,34,33,111
50,2019-01-05,尼克,39,24,23,33,119
51,2019-01-05,湖人,25,34,33,20,112
52,2019-01-05,雷霆,28,29,36,18,111
53,2019-01-05,拓荒者,28,34,25,22,109
54,2019-01-06,黄蜂,26,30,28,26,110
55,2019-01-06,金塊,31,27,31,34,123
56,2019-01-06,爵士,13,35,28,34,110
57,2019-01-06,活塞,31,22,25,27,105
58,2019-01-06,獨行俠,26,25,19,30,100
59,2019-01-06,76人,31,28,28,19,106
60,2019-01-06,鵜鶘,28,33,37,35,133
61,2019-01-06,騎士,26,26,20,26,98
62,2019-01-06,暴龍,27,29,35,32,123
63,2019-01-06,公鹿,34,23,25,34,116
64,2019-01-06,灰熊,25,19,22,22,88
65,2019-01-06,馬刺,27,37,24,20,108
66,2019-01-06,火箭,30,16,31,24,101
67,2019-01-06,拓荒者,30,29,27,24,110
68,2019-01-06,勇士,43,27,26,31,127
69,2019-01-06,國王,29,40,34,20,123
70,2019-01-07,籃網,28,27,33,29,117
71,2019-01-07,公牛,21,34,27,18,100
72,2019-01-07,湖人,19,26,23,18,86
73,2019-01-07,灰狼,35,29,19,25,108
74,2019-01-07,魔術,28,19,20,29,96
75,2019-01-07,快艇,18,27,25,36,106
76,2019-01-07,熱火,16,21,21,24,82
77,2019-01-07,老鷹,23,15,41,27,106
78,2019-01-07,巫師,28,26,36,26,116
79,2019-01-07,雷霆,25,25,29,19,98
80,2019-01-07,溜馬,35,28,21,21,105
81,2019-01-07,暴龍,37,33,26,25,121
82,2019-01-07,黄蜂,29,28,28,34,119
83,2019-01-07,太陽,30,30,21,32,113
84,2019-01-08,馬刺,25,34,25,35,119
85,2019-01-08,活塞,31,20,22,34,107
86,2019-01-08,籃網,22,23,29,21,95
87,2019-01-08,塞爾蒂克,34,22,30,30,116
88,2019-01-08,金塊,35,25,29,24,113
89,2019-01-08,火箭,33,37,26,29,125
90,2019-01-08,爵士,34,28,24,16,102
91,2019-01-08,公鹿,32,26,25,31,114
92,2019-01-08,灰熊,27,24,22,22,95
93,2019-01-08,鵜鶘,31,22,33,28,114
94,2019-01-08,湖人,25,29,32,21,107
95,2019-01-08,獨行俠,33,34,13,17,97
96,2019-01-08,尼克,30,23,23,25,101
97,2019-01-08,拓荒者,30,24,32,25,111
98,2019-01-08,魔術,25,17,20,33,95
99,2019-01-08,國王,29,29,32,21,111
100,2019-01-09,溜馬,38,25,29,31,123
101,2019-01-09,騎士,16,27,36,36,115
102,2019-01-09,巫師,29,16,33,37,115
103,2019-01-09,76人,32,36,36,28,132
104,2019-01-09,金塊,24,25,27,27,103
105,2019-01-09,熱火,18,34,24,23,99
106,2019-01-09,老鷹,31,26,20,24,101
107,2019-01-09,暴龍,28,28,24,24,104
108,2019-01-09,灰狼,29,35,32,23,119
109,2019-01-09,雷霆,23,41,29,24,117
110,2019-01-09,國王,32,40,14,25,111
111,2019-01-09,太陽,35,18,33,29,115
112,2019-01-09,尼克,25,24,19,27,95
113,2019-01-09,勇士,31,30,33,28,122
114,2019-01-09,黄蜂,24,33,20,32,109
115,2019-01-09,快艇,33,29,24,42,128
116,2019-01-10,溜馬,23,30,27,28,108
117,2019-01-10,塞爾蒂克,29,39,37,30,135
118,2019-01-10,76人,20,28,27,31,106
