日期,隊伍,round1,round2,round3,round4
2012-01-01,湖人,22,24,23,23
2012-01-01,金塊,23,22,26,18
2012-01-01,活塞,21,31,30,14
2012-01-01,溜馬,18,26,20,24
2012-01-01,火箭,31,20,21,23
2012-01-01,老鷹,22,22,16,24
2012-01-01,雷霆,27,33,29,18
2012-01-01,太陽,22,24,21,30
2012-01-01,國王,20,22,23,27
2012-01-01,尼克,35,21,22,36
2012-01-01,馬刺,23,31,29,21
2012-01-01,爵士,18,21,21,29
2012-01-01,勇士,25,17,12,25
2012-01-01,76人,19,31,22,35
2012-01-02,巫師,17,17,26,26
2012-01-02,塞爾蒂克,28,23,22,21
2012-01-02,魔術,18,29,23,32
2012-01-02,暴龍,27,25,29,15
2012-01-02,熱火,33,32,27,37
2012-01-02,山貓,15,22,27,26
2012-01-02,騎士,24,19,30,25
2012-01-02,籃網,27,22,18,15
2012-01-02,灰狼,25,25,24,25
2012-01-02,獨行俠,25,16,28,13
2012-01-02,公牛,25,29,30,20
2012-01-02,灰熊,12,16,16,20
2012-01-02,金塊,26,21,25,27
2012-01-02,湖人,21,15,35,19
2012-01-02,國王,21,17,30,28
2012-01-02,黄蜂,22,18,18,22
2012-01-02,快艇,21,23,25,24
2012-01-02,拓荒者,17,19,16,36
2012-01-03,太陽,25,26,21,30
2012-01-03,勇士,26,21,22,22
2012-01-03,塞爾蒂克,23,24,22,31
2012-01-03,巫師,24,24,22,22
2012-01-03,籃網,21,21,22,30
2012-01-03,溜馬,29,19,29,31
2012-01-03,尼克,23,11,24,27
2012-01-03,暴龍,22,29,16,23
2012-01-03,熱火,23,27,21,21
2012-01-03,老鷹,19,28,20,33
2012-01-03,活塞,21,23,24,21
2012-01-03,魔術,19,27,17,15
2012-01-03,灰狼,35,31,28,12
2012-01-03,馬刺,25,34,21,16
2012-01-03,獨行俠,20,34,24,22
2012-01-03,雷霆,20,27,18,22
2012-01-03,金塊,24,24,20,23
2012-01-03,公鹿,30,18,26,12
2012-01-03,爵士,18,32,20,24
2012-01-03,黄蜂,22,25,27,16
2012-01-04,騎士,27,30,30,28
2012-01-04,山貓,34,17,29,21
2012-01-04,公牛,15,11,16,34
2012-01-04,老鷹,23,15,18,18
2012-01-04,灰熊,31,21,35,26
