,date,team,q1,q1,q3,q4
0,2017-01-02,馬刺,27,19,28,26
1,2017-01-02,老鷹,25,19,25,31
2,2017-01-02,活塞,33,25,27,22
3,2017-01-02,熱火,37,29,15,17
4,2017-01-02,魔術,17,34,22,31
5,2017-01-02,溜馬,27,35,27,28
6,2017-01-02,拓荒者,24,13,32,26
7,2017-01-02,灰狼,23,26,15,25
8,2017-01-02,暴龍,27,31,27,38
9,2017-01-02,湖人,33,24,26,31
10,2017-01-20,太陽,21,20,35,27
11,2017-01-20,騎士,29,30,30,29
12,2017-01-20,獨行俠,22,31,20,22
13,2017-01-20,熱火,29,15,26,29
14,2017-01-20,巫師,38,28,34,13
15,2017-01-20,尼克,27,40,19,24
16,2017-01-20,金塊,23,35,23,23
17,2017-01-20,馬刺,28,31,33,26
18,2017-01-20,灰狼,25,19,33,27
19,2017-01-20,快艇,22,29,28,22
20,2017-01-18,暴龍,26,32,34,27
21,2017-01-18,籃網,29,32,24,24
22,2017-01-18,火箭,32,21,26,24
23,2017-01-18,熱火,27,26,26,30
24,2017-01-18,獨行俠,24,30,22,23
25,2017-01-18,公牛,28,19,27,24
26,2017-01-18,灰狼,30,41,19,24
27,2017-01-18,馬刺,30,37,25,30
28,2017-01-18,金塊,40,26,35,26
29,2017-01-18,湖人,26,28,30,37
30,2017-01-15,湖人,15,24,29,29
31,2017-01-15,快艇,26,32,26,29
32,2017-01-15,鵜鶘,22,23,26,28
33,2017-01-15,公牛,21,34,22,30
34,2017-01-15,馬刺,25,33,27,20
35,2017-01-15,太陽,25,26,29,28
36,2017-01-15,76人,30,26,15,22
37,2017-01-15,巫師,21,35,30,23
38,2017-01-15,魔術,42,23,18,24
39,2017-01-15,爵士,29,35,20,30
40,2017-01-10,鵜鶘,29,31,31,19
41,2017-01-10,尼克,26,25,15,30
42,2017-01-10,雷霆,26,35,28,20
43,2017-01-10,公牛,20,26,21,27
44,2017-01-10,獨行俠,19,27,24,22
45,2017-01-10,灰狼,33,21,23,24
46,2017-01-01,灰熊,21,29,32,30
47,2017-01-01,國王,20,25,22,31
48,2017-01-01,公鹿,22,27,31,36
49,2017-01-01,公牛,27,24,25,20
50,2017-01-01,騎士,35,36,28,22
51,2017-01-01,黄蜂,28,31,23,27
52,2017-01-01,尼克,32,23,37,30
53,2017-01-01,火箭,27,42,30,30
54,2017-01-01,太陽,29,22,20,15
55,2017-01-01,爵士,29,26,21,15
56,2017-01-01,快艇,12,28,28,20
57,2017-01-01,雷霆,33,36,27,18
58,2017-01-13,溜馬,29,27,20,36
59,2017-01-13,金塊,30,37,39,34
60,2017-01-13,鵜鶘,35,16,22,31
61,2017-01-13,籃網,31,26,22,16
62,2017-01-13,公牛,22,29,14,24
63,2017-01-13,尼克,24,30,22,28
64,2017-01-13,湖人,24,30,21,19
65,2017-01-13,馬刺,36,36,34,28
66,2017-01-13,獨行俠,32,25,31,25
67,2017-01-13,太陽,29,30,17,32
68,2017-01-13,活塞,30,28,19,30
69,2017-01-13,勇士,37,23,41,26
70,2017-01-11,公牛,36,25,16,22
71,2017-01-11,巫師,26,23,32,20
72,2017-01-11,塞爾蒂克,18,37,29,22
73,2017-01-11,暴龍,23,23,34,34
74,2017-01-11,老鷹,35,26,25,31
75,2017-01-11,籃網,29,14,27,27
76,2017-01-11,黄蜂,26,21,32,35
77,2017-01-11,火箭,32,35,29,25
78,2017-01-11,公鹿,23,30,30,26
79,2017-01-11,馬刺,23,36,30,18
80,2017-01-11,騎士,29,12,25,26
81,2017-01-11,爵士,29,27,19,25
82,2017-01-11,拓荒者,25,30,23,30
83,2017-01-11,湖人,26,31,12,18
84,2017-01-11,熱火,29,25,14,27
85,2017-01-11,勇士,27,26,26,28
