rank,title,url,image_url,video_url,imdb,score
1,尚氣與十環傳奇,https://movies.yahoo.com.tw/movieinfo_main/%E5%B0%9A%E6%B0%A3%E8%88%87%E5%8D%81%E7%92%B0%E5%82%B3%E5%A5%87-shang-chi-and-the-legend-of-the-ten-rings-11374,https://movies.yahoo.com.tw/i/o/production/movies/August2021/lBQAJAPDw205FNAu2b2Q-1359x1940.jpg,https://movies.yahoo.com.tw/video/%E5%B0%9A%E6%B0%A3%E8%88%87%E5%8D%81%E7%92%B0%E5%82%B3%E5%A5%87-%E6%AD%A6%E8%A1%93%E7%AF%87-021123503.html?movie_id=11374,8.0,4.0
2,薩滿,https://movies.yahoo.com.tw/movieinfo_main/%E8%96%A9%E6%BB%BF-the-medium-11454,https://movies.yahoo.com.tw/i/o/production/movies/August2021/JB2z1btxlIDk5W6Axo4v-1192x1703.JPG,https://movies.yahoo.com.tw/video/%E8%96%A9%E6%BB%BF-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-122354586.html?movie_id=11454,7.2,3.6
3,脫稿玩家,https://movies.yahoo.com.tw/movieinfo_main/%E8%84%AB%E7%A8%BF%E7%8E%A9%E5%AE%B6-free-guy-11445,https://movies.yahoo.com.tw/i/o/production/movies/July2021/5rEaoBa3dspWWQS7Y0Rd-757x1080.jpg,https://movies.yahoo.com.tw/video/%E8%84%AB%E7%A8%BF%E7%8E%A9%E5%AE%B6-%E9%80%99%E4%B8%8D%E6%98%AF%E7%B4%84%E6%9C%83%E9%9B%BB%E5%BD%B1%E7%AF%87-085103112.html?movie_id=11445,7.6,4.4
4,天坑,https://movies.yahoo.com.tw/movieinfo_main/%E5%A4%A9%E5%9D%91-sinkhole-11456,https://movies.yahoo.com.tw/i/o/production/movies/August2021/MFxHoAYO9nhDqFl7sVaT-1984x2835.JPG,https://movies.yahoo.com.tw/video/%E5%A4%A9%E5%9D%91-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-122354674.html?movie_id=11456,6.9,4.3
5,玩命關頭9,https://movies.yahoo.com.tw/movieinfo_main/%E7%8E%A9%E5%91%BD%E9%97%9C%E9%A0%AD9-fast-furious-9-10482,https://movies.yahoo.com.tw/i/o/production/movies/July2021/tDAKOcY2jZvGxxZI3gcp-1024x1463.jpg,https://movies.yahoo.com.tw/video/%E7%8E%A9%E5%91%BD%E9%97%9C%E9%A0%AD9-%E5%A5%B3%E5%8A%9B%E8%8A%B1%E7%B5%AE-081604080.html?movie_id=10482,5.2,2.8
6,噤界II,https://movies.yahoo.com.tw/movieinfo_main/%E5%99%A4%E7%95%8CII-a-quiet-place-part-ii-10435,https://movies.yahoo.com.tw/i/o/production/movies/August2021/1Sem3KpqMBj22tQ2lb3G-3072x4430.jpg,https://movies.yahoo.com.tw/video/%E5%99%A4%E7%95%8Cii-%E6%88%B2%E9%99%A2%E8%A6%8B%E7%AF%87-062032147.html?movie_id=10435,7.3,4.2
7,疾厄,https://movies.yahoo.com.tw/movieinfo_main/%E7%96%BE%E5%8E%84-malignant-11430,https://movies.yahoo.com.tw/i/o/production/movies/July2021/UXETbX63zXrbl2Ke83US-729x1080.jpg,https://movies.yahoo.com.tw/video/%E7%96%BE%E5%8E%84-%E7%B5%82%E6%A5%B5%E9%A0%90%E5%91%8A-123012691.html?movie_id=11430,6.8,4.3
8,自殺突擊隊：集結,https://movies.yahoo.com.tw/movieinfo_main/%E8%87%AA%E6%AE%BA%E7%AA%81%E6%93%8A%E9%9A%8A-%E9%9B%86%E7%B5%90-the-suicide-squad-11328,https://movies.yahoo.com.tw/i/o/production/movies/July2021/wBcP1IO87kVxofoKeK4U-1024x1462.jpg,https://movies.yahoo.com.tw/video/%E8%87%AA%E6%AE%BA%E7%AA%81%E6%93%8A%E9%9A%8A-%E9%9B%86%E7%B5%90-%E9%9B%BB%E5%BD%B1%E9%85%8D%E6%A8%82-rain-mv-063001680.html?movie_id=11328,7.4,4.2
9,回憶三部曲,https://movies.yahoo.com.tw/movieinfo_main/%E5%9B%9E%E6%86%B6%E4%B8%89%E9%83%A8%E6%9B%B2-memories-11451,https://movies.yahoo.com.tw/i/o/production/movies/August2021/kosHlubjWgKsdD7D8mvY-2800x4000.jpg,https://movies.yahoo.com.tw/video/%E5%9B%9E%E6%86%B6%E4%B8%89%E9%83%A8%E6%9B%B2-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-033006470.html?movie_id=11451,,3.7
10,暫時停止呼吸2,https://movies.yahoo.com.tw/movieinfo_main/%E6%9A%AB%E6%99%82%E5%81%9C%E6%AD%A2%E5%91%BC%E5%90%B82-dont-breathe-2-11417,https://movies.yahoo.com.tw/i/o/production/movies/August2021/rqKITYhrkn9Y6kyIFSJJ-2989x4267.jpg,https://movies.yahoo.com.tw/video/%E6%9A%AB%E6%99%82%E5%81%9C%E6%AD%A2%E5%91%BC%E5%90%B82-%E6%9C%80%E6%96%B0%E9%A0%90%E5%91%8A-055204273.html?movie_id=11417,6.1,4.0
