,Country,即期匯率(銀行買入),即期匯率(銀行賣出),網銀/App優惠(銀行買入),網銀/App優惠(銀行賣出),現金匯率(銀行買入),現金匯率(銀行賣出),Historial Trend Chart
0,美元(USD),31.45,31.55,31.485,31.515,31.2,31.75,http://tinyurl.com/ylafkecl
1,人民幣(CNY),4.341,4.391,4.356,4.376,4.267,4.427,http://tinyurl.com/ywlgnnjb
2,港幣(HKD),3.995,4.055,4.017,4.033,3.925,4.085,http://tinyurl.com/ynwwr3ee
3,日圓(JPY),0.212,0.216,0.2132,0.2148,0.211,0.218,http://tinyurl.com/yl9r84pj
4,歐元(EUR),34.06,34.46,34.18,34.34,33.76,34.76,http://tinyurl.com/ypy9j5f7
5,澳幣(AUD),20.65,20.85,20.7,20.8,20.35,21.15,http://tinyurl.com/yoh4n4er
6,加拿大幣(CAD),23.27,23.45,23.315,23.405,22.96,23.76,http://tinyurl.com/ym7mrd6g
7,英鎊(GBP),39.6,40,39.72,39.88,39.3,40.3,http://tinyurl.com/ysffcpb7
8,南非幣(ZAR),1.609,1.709,1.634,1.684,,,http://tinyurl.com/yl4mfusp
9,紐西蘭幣(NZD),19.24,19.48,19.3,19.42,,,http://tinyurl.com/yw574cnu
10,瑞士法郎(CHF),36.46,36.66,36.52,36.6,,,http://tinyurl.com/ysdoqcy9
11,瑞典幣(SEK),2.987,3.047,3.002,3.032,,,http://tinyurl.com/yv7bz4ax
12,新加坡幣(SGD),23.37,23.53,23.42,23.48,,,http://tinyurl.com/yujpg9mo
13,墨西哥披索(MXN),1.787,1.867,1.817,1.837,,,http://tinyurl.com/ylsmnj2u
14,泰銖(THB),0.868,0.908,0.878,0.898,,,http://tinyurl.com/ywmmkz9m
