,片名,英文名,預告片Url,內容介紹Url,觀眾評分,片長,級數
0,蜂刑者,The Beekeeper,https://today.line.me/tw/v2/article/LXLP7D0,https://today.line.me/tw/v2/movie/EX5Q8vk,9.9,• 1小時45分 • 上映1週,輔15級
1,露梁：死亡之海,Noryang：Deadly Sea,https://today.line.me/tw/v2/article/5y5GlmK,https://today.line.me/tw/v2/movie/EX5Q8vk,9.9,• 1小時45分 • 上映1週,輔15級
2,水行俠 失落王國,Aquaman and the Lost Kingdom,https://today.line.me/tw/v2/article/1DOyzGm,https://today.line.me/tw/v2/movie/EX5Q8vk,8.5,• 1小時45分 • 上映1週,輔15級
3,魔法公主(數位紀念版),Princess Mononoke,https://today.line.me/tw/v2/article/kEXpk0q,https://today.line.me/tw/v2/movie/EX5Q8vk,10,• 1小時45分 • 上映1週,輔15級
4,金手指,The Goldfinger,https://today.line.me/tw/v2/article/MLvBy8j,https://today.line.me/tw/v2/movie/EX5Q8vk,8.9,• 1小時45分 • 上映1週,輔15級
5,怒潮,Wolf Hiding,https://today.line.me/tw/v2/article/LXLoayV,https://today.line.me/tw/v2/movie/EX5Q8vk,9.6,• 1小時45分 • 上映1週,輔15級
6,鬼媽媽的假期,Our Season,https://today.line.me/tw/v2/article/9m57N3K,https://today.line.me/tw/v2/movie/EX5Q8vk,10,• 1小時45分 • 上映1週,輔15級
7,人犬,Dogman,https://today.line.me/tw/v2/article/605L9Va,https://today.line.me/tw/v2/movie/EX5Q8vk,9.6,• 1小時45分 • 上映1週,輔15級
8,旺卡,Wonka,https://today.line.me/tw/v2/article/MLv1JQy,https://today.line.me/tw/v2/movie/EX5Q8vk,9.2,• 1小時45分 • 上映1週,輔15級
9,富都青年,Abang Adik,https://today.line.me/tw/v2/article/nXmL6BL,https://today.line.me/tw/v2/movie/EX5Q8vk,8.9,• 1小時45分 • 上映1週,輔15級
10,叛諜檔案,The Bricklayer,https://today.line.me/tw/v2/article/aGvQJqn,https://today.line.me/tw/v2/movie/EX5Q8vk,9.4,• 1小時45分 • 上映1週,輔15級
11,星願,Wish,https://today.line.me/tw/v2/article/JP9ngkK,https://today.line.me/tw/v2/movie/EX5Q8vk,7.7,• 1小時45分 • 上映1週,輔15級
12,BIG,BIG,https://today.line.me/tw/v2/article/BE0r5yz,https://today.line.me/tw/v2/movie/EX5Q8vk,9.9,• 1小時45分 • 上映1週,輔15級
13,搖滾吧！中二樂團,On-Gaku: Our Sound,https://today.line.me/tw/v2/article/qoP92p2,https://today.line.me/tw/v2/movie/EX5Q8vk,10,• 1小時45分 • 上映1週,輔15級
14,細野晴臣：再會美國,Haruomi Hosono Sayonara America,https://today.line.me/tw/v2/article/9m56pzq,https://today.line.me/tw/v2/movie/EX5Q8vk,10,• 1小時45分 • 上映1週,輔15級
15,窗邊的小荳荳,Totto-Chan: The Little Girl at the Window,https://today.line.me/tw/v2/article/3NraOWy,https://today.line.me/tw/v2/movie/EX5Q8vk,0.0,• 1小時45分 • 上映1週,輔15級
16,法拉利,Ferrari,https://today.line.me/tw/v2/article/zNYkPV7,https://today.line.me/tw/v2/movie/EX5Q8vk,9.1,• 1小時45分 • 上映1週,輔15級
17,電影版 淘氣小企鵝啵樂樂 超級明星大冒險(國語版),Pororo Popstar Adventure (Chinese),https://today.line.me/tw/v2/article/605lGwj,https://today.line.me/tw/v2/movie/EX5Q8vk,10,• 1小時45分 • 上映1週,輔15級
18,12.12：首爾之春,12.12: The Day,https://today.line.me/tw/v2/article/1DO6ro2,https://today.line.me/tw/v2/movie/EX5Q8vk,9.9,• 1小時45分 • 上映1週,輔15級
19,爆裂點,Bursting Point,https://today.line.me/tw/v2/article/ZamxpNQ,https://today.line.me/tw/v2/movie/EX5Q8vk,7.0,• 1小時45分 • 上映1週,輔15級
