,片名,英文名,預告片Url,內容介紹Url,觀眾評分,片長,級數,影片介紹
0,蜂刑者,The Beekeeper,https://today.line.me/tw/v2/article/LXLP7D0,https://today.line.me/tw/v2/movie/EX5Q8vk,9.8,• 1小時45分 • 上映1週,輔15級,★《玩命關頭X》動作巨星 傑森史塔森 最強動作演出 ★《怒火特攻隊》動作大導大衛艾亞重返巔峰動作鉅獻 ★《重案對決》編劇打造全新神祕殺手組織「蜂刑者」 ★繼《捍衛任務》《私刑教育》後，最強殺手現身大銀幕 ★全美由米高梅影業以超過3500間戲院超大規模盛大發行 ★與全美同步上映，IMAX、Dolby Cinema、4DX、MX4D版本震撼大銀幕  「蜂刑者」是獨立於指揮系統外的特別組織，致力維繫蜂巢體制的健全。 當腐壞侵蝕體制——他將不惜代價保護蜂巢，導正一切！   在摯友因遭詐騙而自殺身亡後，一名過去成謎的男子克雷（傑森史塔森 飾）滿腔怒火地對詐騙集團展開激烈的復仇。然而，當人們發現克雷曾
1,露梁：死亡之海,Noryang：Deadly Sea,https://today.line.me/tw/v2/article/5y5GlmK,https://today.line.me/tw/v2/movie/9m57J2r,9.9,• 1小時45分 • 上映1週,輔15級,★ 空降韓國票房冠軍！ ★《與神同行》發行團隊年度戰爭動作鉅獻 ★《韓山島海戰》《鳴梁：怒海交鋒》導演金漢珉執導 ★ 青龍影帝金倫奭接棒崔岷植、朴海日，扮演李舜臣將軍決一死戰！ ★《今生也請多指教》安普賢熱血共演！ ★《德魯納酒店》呂珍九X《地下菁英2》李帝勳驚喜演出！ ★ 繼韓國影史票房TOP1《鳴梁：怒海交鋒》、《韓山島海戰》後，本作為「李舜臣將軍三部曲」精彩最終章，將畫下震撼句點！ ★ 金漢珉導演率領《鳴梁：怒海交鋒》原班團隊斥資超過300億韓元打造磅礴最終章！ ★ 熱血沸騰海戰場景高達100分鐘更勝前作，費時6個月拍攝而成！ ★ 李舜臣將軍人生中的最後一場戰役震撼登場！  壬辰倭亂爆發
2,水行俠 失落王國,Aquaman and the Lost Kingdom,https://today.line.me/tw/v2/article/1DOyzGm,https://today.line.me/tw/v2/movie/gz62WX2,8.5,• 1小時45分 • 上映1週,輔15級,在【水行俠 失落王國】中，先前未能打敗水行俠的黑蝠鱝依然矢志為死去的父親報仇，他將不計代價只求徹底擊敗水行俠；而這次黑蝠鱝掌握能釋放古老邪惡力量的遠古神器黑色三叉戟，變得比以往更加強大。為了對抗黑蝠鱝，水行俠必須向前亞特蘭提斯之王，如今被囚禁的弟弟歐姆求助，兩人成為意想不到的盟友；兄弟倆必須克服己見，以保衛王國、拯救水行俠的家人和全世界免於毀滅。   原班卡司全數在【水行俠 失落王國】中回歸，包含：由傑森摩莫亞飾演的亞瑟庫里／水行俠，如今必須在亞特蘭提斯之王和新手父親兩份職責之間取得平衡；派翠克威爾森飾演歐姆，身為水行俠同母異父的弟弟與宿敵，這次被迫與哥哥結盟；安柏赫德飾演梅拉，如今是亞特蘭提
3,魔法公主(數位紀念版),Princess Mononoke,https://today.line.me/tw/v2/article/kEXpk0q,https://today.line.me/tw/v2/movie/LXL7q80,10,• 1小時45分 • 上映1週,輔15級,★ 宮﨑駿經典不敗動畫睽違27年重返大銀幕 ★ 日本票房202億締造吉卜力新里程碑，勇奪日本影史票房冠軍 ★ 首部與美國華特迪士尼合作進軍國際市場的吉卜力電影 ★ 耗資25億日圓製作費，耗時3年手繪14萬多幀畫稿 ★ 電影配樂大師久石讓傾力打造，感受身臨其境的沉浸式聽覺享受  唯有和解才能共存，我們一起活下去  中了致命詛咒的王子「阿席達卡」離開家鄉尋找解方，卻被捲入森林神獸與礦城人民之間的生存搏鬥，旅途中邂逅由山犬神族扶養成人的魔法公主「小桑」，小桑決心守護森林與人類對抗到底，戰役一觸即發，而阿席達卡則試著找出能夠化解大自然與人類紛爭、和平共處的方法。  甲上娛樂臉書: https://ww
4,金手指,The Goldfinger,https://today.line.me/tw/v2/article/MLvBy8j,https://today.line.me/tw/v2/movie/Vxmo0eB,8.9,• 1小時45分 • 上映1週,輔15級,⭐兩大影帝 梁朝偉 X 劉德華 大銀幕正面交鋒❗ ⭐空前絕後《無間道》夢幻陣容二十年後再現❗ ⭐金獎大導 莊文強 全新金融犯罪片❗ ⭐斥資３億５千萬港幣 重金打造金錢帝國❗ ⭐世紀絕版組合，改編自真實震驚全球 百億瞞天大騙局❗ ⭐紙醉金迷如 華爾街之狼，爾虞我詐似無間道❗  「紙醉金迷如華爾街，爾虞我詐似無間道」   80年代，香港上市公司加利集團幾年間從崛起到倒閉清算，主席程一言（梁朝偉 飾演）從股民偶像變成過街老鼠，廉政公署的高級調查主任劉啟源（劉德華 飾演）對該案展開跨國追查，揭開金融黃金時代商業舞台黑暗一幕。  龍祥電影粉絲專頁 https://www.facebook.com/lsm
5,怒潮,Wolf Hiding,https://today.line.me/tw/v2/article/LXLoayV,https://today.line.me/tw/v2/movie/x2MLOJn,9.6,• 1小時45分 • 上映1週,輔15級,★王大陸、阮經天，台灣兩大人氣男星首度大銀幕同台演出 ★《明日戰記》金馬、金像雙料影帝張家輝再創演技新巔峰 ★《五億探長雷洛傳》大反派「顏同」香港資深男星秦沛加盟演出 ★《朋友》《卑劣的街頭》動作指導申宰明打造韓式暴力美學  多年以來，暗中從事人體交易等犯罪活動的洪泰集團，被神秘人陳安（張家輝 飾）的突然出現攪動得惶恐不安。警察麥朗汶（阮經天 飾）、洪泰手下馬文康（王大陸 飾）受各自上司指令展開調查，一時間多方勢力交織其中，新舊秩序洶涌鬥狠，鹿死誰手尚不可知，一場打破黑暗秩序的角逐一觸即發。  車庫娛樂臉書: https://www.facebook.com/garageplay.tw  電影
6,鬼媽媽的假期,Our Season,https://today.line.me/tw/v2/article/9m57N3K,https://today.line.me/tw/v2/movie/oqrmNlq,10,• 1小時45分 • 上映1週,輔15級,★ 韓國觀眾9分超高分好評口碑盛讚！ ★ 《82年生的金智英》編劇X《完美搭檔》導演X《七罪追緝令》製作人細膩打造感人之作 ★ 「韓國國民媽媽」金海淑X《海岸村恰恰恰》申敏兒共演催淚動人鉅獻 ★ 重返人世的母親，與女兒共度的最後假期！  過世第三年的福子（金海淑 飾）獲得3天的假期，與負責說明規則的新人導覽員（姜基榮 飾）一同重返人間。福子一想到能見到在美國大學名校擔任教授的女兒真珠（申敏兒 飾），就感到開心不已。但沒想到她卻看到真珠回到老家，開始經營家常菜餐館。看不見母親、也聽不到母親聲音的真珠，不曉得母親福子為自己感到心急如焚，還和朋友美珍（黃寶羅 飾）一起尋找母親的食譜，當看到熟悉的
7,人犬,Dogman,https://today.line.me/tw/v2/article/605L9Va,https://today.line.me/tw/v2/movie/Qw3O9Qg,9.6,• 1小時45分 • 上映1週,輔15級,道格拉斯(卡賴伯蘭里瓊斯 飾演)他的扭曲人格來自於小時候的被虐陰影，因為他愛狗勝過自己的家人，讓他備受折磨。但是狗狗也成為他人生的慰藉，只有狗的陪伴，才讓他能夠在這個世界上存活下來。  當他與全世界為敵對戰時，他與狗狗一起捍衛生命！  傳影互動ifilm臉書: https://www.facebook.com/ifilm.tw
8,旺卡,Wonka,https://today.line.me/tw/v2/article/MLv1JQy,https://today.line.me/tw/v2/movie/Ggy8pDy,9.2,• 1小時45分 • 上映1週,輔15級,描述一個不可思議的故事，看著全世界最偉大的發明家、魔術師和巧克力製造商，是如何變成現今眾所周知且備受喜愛的威利旺卡。   華納兄弟臉書: https://www.facebook.com/WarnerBrosTW
9,富都青年,Abang Adik,https://today.line.me/tw/v2/article/nXmL6BL,https://today.line.me/tw/v2/movie/NvYW2M8,8.9,• 1小時45分 • 上映1週,輔15級,★金馬影后李心潔監製、王禮霖執導首部長片 ★《富都青年》橫掃國際9項大獎、吳慷仁奪FIRST青年電影展影帝寶座！ ★台北電影獎影帝吳慷仁聯手馬來西亞男星陳澤耀同台飆戲！ ★殿堂級名導楊德昌、侯孝賢、蔡明亮、王家衛御用音效大師杜篤之操刀！ ★入圍第60屆金馬獎7項大獎、金馬影展觀眾票選排行榜持續蟬聯冠軍！  沒有公民身份證的阿邦（吳慷仁飾）和阿迪（陳澤耀飾），在混雜外勞聚居的富都老社區裡苟且偷生。他們無法享有一般國民福利，無法申請護照，連銀行戶頭也開不了。哥哥阿邦天生啞巴，任勞任怨也認命，只求一份安定生活，弟弟阿迪則不甘向命運低頭，從而違法販賣假證件，他一心只想賺到錢就帶著哥哥離開這個厭惡的
