,商家名稱,類別,地址
0,風禾古早味現烤蛋糕,其他美食,新北市五股區民義里０１９鄰工商路１３３號
1,薰緻乳酪蛋糕店,其他美食,新北市淡水區中山路１６４號
2,胖貢貢古早味蛋糕,其他類食材市集,新北市中和區民安里民安街２５巷２１號
3,凱撒藝術蛋糕店,其他美食,新北市汐止區復興里大同路２段１８４巷９號
4,琪珍囍餅蛋糕店,其他美食,新北市新莊區光明里民安西路２８０號
5,吉美西點蛋糕店,其他美食,新北市蘆洲區成功路１８９號１樓
6,小潘蛋糕坊有限公司,其他美食,新北市板橋區社後里中正路１３５巷１１之１號１樓
7,正群蛋糕店,其他美食,新北市鶯歌區光復街３９號
8,愛維爾蛋糕有限公司,其他類食材市集,新北市中和區瑞穗里民享街４號１樓
9,馥瑄花式芝士蛋糕,其他美食,新北市中和區秀仁里自強路５４號
10,巧口藝術蛋糕坊,其他美食,新北市林口區西林里仁愛路２段１４號（１樓）
11,驊真蛋糕店,其他美食,新北市三重區三和路２段１４６號１樓
12,昇暐蛋糕坊,其他美食,新北市三重區三和路４段１６３巷１０號１樓
13,富士屋蛋糕店,其他美食,新北市新莊區公園一路９５號
14,明揚麵包蛋糕店,其他美食,新北市新莊區公園一路９６號１樓
15,凡妮莎蛋糕坊,其他美食,新北市三重區自強路３段１０號１樓
16,欣運西點蛋糕之家,其他美食,新北市新莊區化成里化成路１０７號１樓
17,杉林小机蛋糕,其他類食材市集,新北市土城區員福里中央路２段１９２巷３１號
18,雅群蛋糕屋,其他美食,新北市板橋區長安街１３８巷１弄１０號１樓
19,松珍蛋糕舖,其他類食材市集,新北市永和區民生里民生路８１號
20,岩香蛋糕坊,其他美食,新北市泰山區義仁里明志路２段３５號
21,華格精緻蛋糕坊,其他美食,新北市三重區車路頭街１２５號１樓
22,凱福蛋糕店,其他類食材市集,新北市新店區新生里北新路１段２２５號（１樓）
23,阿旺師手工蛋糕坊,其他美食,新北市深坑區萬順里北深路３段２７５號１樓
24,亞比法式蛋糕店,其他美食,新北市蘆洲區長安里長安街１８９號
25,典糖蛋糕店,其他美食,新北市新莊區化成路８１６號
26,老街９８雞蛋糕,其他美食,新北市三峽區三峽里民權街９８號
27,崴騏手工蛋糕坊有限公司,其他美食,新北市中和區平河里中正路７７４號３樓
28,名麥藝術蛋糕店,其他美食,新北市新莊區成德里成功街５５號
29,格麥蛋糕麵包店,其他美食,新北市土城區延吉街２３４號
30,千城蛋糕店,其他美食,新北市新店區永業路１０號
31,佳樂蛋糕森林店,其他類食材市集,新北市汐止區自強里青山路２５號１樓
32,鶯歌古早味蛋糕,其他類食材市集,新北市鶯歌區南鶯里１４鄰建國路２５１號
33,逸鮮精緻蛋糕店,其他美食,新北市汐止區汐止鎮文化里連興街１３２號１樓
34,德米蛋糕烘焙坊,其他類食材市集,新北市中和區安平里宜安路１６３號
35,一塊蛋糕工作室,其他類食材市集,新北市瑞芳區新峰里三爪子坑路民享新村２２號４樓
36,香帥西點蛋糕店,其他美食,新北市汐止區汐萬路１段２３８號１樓
37,驊臻蛋糕坊,其他美食,新北市新莊區新泰路３３２號
38,日月香蛋糕店,其他美食,新北市新莊區新泰路８２號１樓
39,香帥蛋糕有限公司,其他美食,新北市汐止區江北里汐萬路一段２１１巷２６號１、２、３、４、５樓
40,薰緻乳酪蛋糕渡船頭店,其他美食,新北市淡水區中正路１１巷１號（Ａ２）
41,宏晟蛋糕坊,其他美食,新北市三重區萬壽里龍濱路１１８號１樓
42,香野屋麵包蛋糕,其他美食,新北市中和區景平里景平路１５９巷２號
43,富祥西點蛋糕工廠,其他美食,新北市鶯歌區建國路１５５號
44,首都西餅蛋糕店,其他美食,新北市新店區大同里北新路３段６１號１樓
45,吉星蛋糕店,其他美食,新北市樹林區彭厝里太元街６２號
46,幸福小舖現烤蛋糕,其他美食,新北市三重區長元里長壽街６１―１號
47,祥發蛋糕城,其他美食,新北市鶯歌區國際二路８巷２號１樓
48,楊子葳吃不膩蛋糕,其他美食,新北市板橋區新埔里文化路１段４３５巷３１弄９號
49,原屋藝術蛋糕坊,其他美食,新北市三重區永清里永福街１３３號１樓
50,小潘蛋糕坊,其他美食,新北市板橋區和平里和平路５１號
51,傳統味現烤蛋糕,其他美食,新北市永和區保平里永貞路３２３號
52,嘉豐蛋糕城,其他美食,新北市板橋區莒光路６０號
53,順謚健康蛋糕有限公司,其他美食,新北市鶯歌區鳳祥里鶯桃路３１９號
54,紅葉蛋糕食品有限公司,其他類食材市集,新北市新店區寶安里民權路５號
55,金麥可蛋糕店,其他美食,新北市鶯歌區鳳福里５鄰鳳吉一街１５５號１樓
56,之蜜爾蛋糕烘焙坊,其他美食,新北市樹林區千歲街９４號１樓
57,朵蕾米蛋糕坊,其他美食,新北市八里區龍源里０１２鄰龍形一街３號
58,禮群蛋糕食品有限公司,其他美食,新北市永和區保平路２３０號
59,阿慶師古早味蛋糕,其他美食,新北市金山區和平街６號
60,名家囍餅蛋糕店,其他美食,新北市鶯歌區鶯桃路２段９號
61,花園腳印蛋糕店,其他美食,新北市板橋區介壽里文化路１段２８６巷８號（１樓）
62,安康起酥蛋糕店,其他美食,新北市新店區德安里安康路２段４５４號
63,長奇蛋糕店,其他美食,新北市汐止區福德一路２０１巷２號１樓
64,天使面容蛋糕工作室,其他類食材市集,新北市三峽區永舘里和平街３６巷７弄７號（１樓）
65,永和鹹蛋糕,其他美食,新北市永和區永貞路１０２號
66,凱悅蛋糕麵包坊,其他美食,新北市樹林區太元街４８號（１樓）
67,華城黑森林蛋糕店,其他美食,新北市新店區安康路３段４３０號
68,北美蛋糕店,其他美食,新北市板橋區重慶里國慶路２０５號
69,金福德古早味蛋糕,其他類食材市集,新北市中和區景平里景平路１５９巷７４號
70,巧門西點蛋糕店,其他美食,新北市平溪區薯榔里雙菁路７５號
71,永和雞蛋糕,其他美食,新北市永和區永樂里永和路１段２６號
72,鴻達西餅蛋糕店,其他美食,新北市新店區寶元路２段２１號１樓
73,美二佳蛋糕店,其他美食,新北市汐止區大同路２段３３４號
74,佶饗蛋糕坊,其他美食,新北市泰山區全興里仁愛路１３０號
75,美冠蛋糕店,其他美食,新北市中和區興南路２段１１３巷２６號１樓
76,奇新蛋糕屋,其他美食,新北市新莊區中港里幸福路６５１號
77,奇美藝術蛋糕麵包店,其他美食,新北市新莊區建中街８４號
78,卡瓦蛋糕工場有限公司,其他類食材市集,新北市永和區秀和里永元路１０５號
79,好萊蛋糕有限公司,其他美食,新北市汐止區環河里福德一路３９２巷４１弄１４號２樓
80,烘樂兒手作蛋糕坊,其他類食材市集,新北市板橋區三民路２段１２３巷７號（１樓）
81,伊貝莎蛋糕園,其他美食,新北市永和區中和路６２５號
82,麥博士藝術蛋糕店,其他美食,新北市泰山區同興里明志路１段４１９號
83,安斌蛋糕烘焙坊,其他美食,新北市中和區安平里景安路１號１樓
84,妮威藝術蛋糕店,其他美食,新北市新莊區立志里中和街２１號
85,凱琳蛋糕店,其他美食,新北市中和區安平路２０號
86,一品蛋糕屋,其他美食,新北市瑞芳區瑞芳街２５號１樓
87,巧好蛋糕屋,其他美食,新北市中和區南華路４９號１樓
88,甲品西點蛋糕屋,其他美食,新北市板橋區僑中一街９８號１樓
89,蜜而可藝術蛋糕有限公司,其他美食,新北市新莊區建福路６２號
90,惠喜藝術蛋糕坊,其他美食,新北市新莊區後港一路５１號
91,上品軒蛋糕店,其他美食,新北市泰山區明志路１段１４７號
92,幸福工坊古早味蛋糕,其他美食,新北市泰山區明志路１段３６８號（空地）
93,豐禾蛋糕工作坊,其他美食,新北市三重區清和里和平街６３號（１樓）
94,貴族蛋糕店,其他類食材市集,新北市新莊區光和里民安西路２２９巷１１號１樓
95,福川蛋糕店,其他美食,新北市深坑區埔新里埔新街１１０號１樓
96,布果蛋糕坊,其他美食,新北市五股區五股里中興路４段３７號
97,微笑蛋糕商行,其他美食,新北市樹林區金寮里保安街２段７０號（Ｒ１）
98,尚讚雞蛋糕,其他美食,新北市中和區員富里中正路１１９４巷１１號５樓
99,世裕麵包蛋糕舖,其他美食,新北市深坑區深坑里北深路２段１９３號２樓
100,哈蛋糕精緻工坊,其他類食材市集,新北市泰山區同興里福興一街７４號（１樓）
101,丹迪蛋糕店,其他美食,新北市鶯歌區中鶯里中正一路１４６號
102,玉秀蛋糕,其他美食,新北市三重區文化北路８９號
103,法蘭司蛋糕有限公司三重門市,其他類食材市集,新北市三重區中興里興德路１４３號
104,貝司特蛋糕一坊,其他美食,新北市新莊區光和里民安西路２３１號１樓
105,松田囍餅蛋糕,其他美食,新北市鶯歌區北鶯里中正一路３２９號
106,提拉米蘇精緻蛋糕有限公司板橋分公司,其他類食材市集,新北市板橋區中山路２段２１３號
107,玉點麵包蛋糕坊,其他美食,新北市新莊區中榮街５２號
